    0        24  (*        linux-3.0     2011-07-22     *)
   94        28  (*        linux-3.1     2011-10-24     *)
  166        38  (*        linux-3.2     2012-01-04     *)
  240        27  (*        linux-3.3     2012-03-18     *)
  303        17  (*        linux-3.4     2012-05-20     *)
  365        15  (*        linux-3.5     2012-07-21     *)
  436        28  (*        linux-3.6     2012-09-30     *)
  507        23  (*        linux-3.7     2012-12-10     *)
  577        19  (*        linux-3.8     2013-02-18     *)
  646        15  (*        linux-3.9     2013-04-28     *)
  709        15  (*        linux-3.10    2013-06-30     *)
  773        41  (*        linux-3.11    2013-09-02     *)
  835        19  (*        linux-3.12    2013-11-03     *)
  912         7  (*        linux-3.13    2014-01-19     *)
  982        15  (*        linux-3.14    2014-03-30     *)
 1052        19  (*        linux-3.15    2014-06-08     *)
 1108        12  (*        linux-3.16    2014-08-03     *)
 1171        19  (*        linux-3.17    2014-10-05     *)
 1234        22  (*        linux-3.18    2014-12-07     *)
 1297         6  (*        linux-3.19    2015-02-08     *)

